STATE,RATE,DEATHS,URL
AL,22.9,"1,124",/nchs/pressroom/states/alabama/alabama.htm
AK,24.5,180,/nchs/pressroom/states/alaska/alaska.htm
AZ,15.8,"1,134",/nchs/pressroom/states/arizona/arizona.htm
AR,20.3,613,/nchs/pressroom/states/arkansas/arkansas.htm
CA,7.9,"3,184",/nchs/pressroom/states/california/california.htm
CO,13.4,779,/nchs/pressroom/states/colorado/colorado.htm
CT,5.1,188,/nchs/pressroom/states/connecticut/connecticut.htm
DE,11.7,111,/nchs/pressroom/states/delaware/delaware.htm
FL,12.4,"2,724",/nchs/pressroom/states/florida/florida.htm
GA,15.4,"1,623",/nchs/pressroom/states/georgia/georgia.htm
HI,2.5,39,/nchs/pressroom/states/hawaii/hawaii.htm
ID,16.4,280,/nchs/pressroom/states/idaho/idaho.htm
IL,12.1,"1,543",/nchs/pressroom/states/illinois/illinois.htm
IN,15.3,"1,016",/nchs/pressroom/states/indiana/indiana.htm
IA,9.0,293,/nchs/pressroom/states/iowa/iowa.htm
KS,16.0,466,/nchs/pressroom/states/kansas/kansas.htm
KY,16.2,730,/nchs/pressroom/states/kentucky/kentucky.htm
LA,21.7,"1,008",/nchs/pressroom/states/louisiana/louisiana.htm
ME,11.7,172,/nchs/pressroom/states/maine/maine.htm
MD,12.3,742,/nchs/pressroom/states/maryland/maryland.htm
MA,3.7,262,/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,11.3,"1,138",/nchs/pressroom/states/michigan/michigan.htm
MN,8.2,465,/nchs/pressroom/states/minnesota/minnesota.htm
MS,21.5,632,/nchs/pressroom/states/mississippi/mississippi.htm
MO,21.5,"1,307",/nchs/pressroom/states/missouri/missouri.htm
MT,22.5,244,/nchs/pressroom/states/montana/montana.htm
NE,8.3,160,/nchs/pressroom/states/nebraska/nebraska.htm
NV,16.7,508,/nchs/pressroom/states/nevada/nevada.htm
NH,10.4,146,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,5.3,478,/nchs/pressroom/states/newjersey/newjersey.htm
NM,18.5,394,/nchs/pressroom/states/newmexico/newmexico.htm
NY,3.7,772,/nchs/pressroom/states/newyork/newyork.htm
NC,13.7,"1,430",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,13.2,103,/nchs/pressroom/states/northdakota/northdakota.htm
OH,13.7,"1,589",/nchs/pressroom/states/ohio/ohio.htm
OK,17.2,681,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,12.1,528,/nchs/pressroom/states/oregon/oregon.htm
PA,12.5,"1,636",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,3.9,43,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,17.7,893,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,11.9,101,/nchs/pressroom/states/southdakota/southdakota.htm
TN,18.4,"1,246",/nchs/pressroom/states/tenessee/tennessee.htm
TX,12.4,"3,513",/nchs/pressroom/states/texas/texas.htm
UT,14.0,410,/nchs/pressroom/states/utah/utah.htm
VT,11.7,70,/nchs/pressroom/states/vermont/vermont.htm
VA,11.9,"1,041",/nchs/pressroom/states/virginia/virginia.htm
WA,11.1,849,/nchs/pressroom/states/washington/washington.htm
WV,18.6,348,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,10.6,624,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,18.8,113,/nchs/pressroom/states/wyoming/wyoming.htm
