Year,Yes,No,Refused,Unknown,No answer,Not applicable
1973,707,773,15,0,9,0
1974,684,785,10,1,4,0
1976,697,779,17,0,6,0
1977,771,748,2,2,7,0
1980,695,760,2,1,10,0
1982,810,1019,22,3,6,0
1984,662,795,9,1,6,0
1985,678,842,10,0,4,0
1987,770,1032,10,0,7,0
1988,389,571,10,0,7,504
1989,475,555,0,0,3,504
1990,387,520,0,1,9,455
1991,393,583,10,0,7,524
1993,452,614,7,0,2,531
1994,810,1160,19,3,4,996
1996,772,1142,7,2,0,981
1998,654,1215,6,1,6,950
2000,603,1231,23,1,3,956
2002,310,605,9,0,0,1841
2004,319,558,16,2,3,1914
2006,664,1307,30,2,0,2507
2008,464,870,15,3,0,671
2010,394,839,42,6,0,763
2012,440,841,24,3,0,666
2014,529,1128,54,3,0,824
2016,593,1246,50,1,0,977
2018,537,993,39,5,0,774
