Year,State,City Or County,Latitude,Longitude
2014,Louisiana,New Orleans,29.95106579999999,-90.0715323
2014,California,Los Angeles,34.0522342,-118.2436849
2014,California,Sacramento,38.5815719,-121.4943996
2014,Illinois,East St. Louis,38.624514,-90.1506465
2014,Missouri,Saint Louis,38.6270025,-90.19940419999999
2014,Kentucky,Winchester,37.990079,-84.17965029999999
2014,Michigan,Detroit,42.331427,-83.0457538
2014,New York,Webster,43.2122851,-77.4299939
2014,Illinois,Chicago,41.8781136,-87.6297982
2014,Florida,Sarasota,27.3364347,-82.53065269999999
2014,Mississippi,Waynesboro,31.674883,-88.6461465
2014,Illinois,Calumet City,41.6155909,-87.5294871
2014,Illinois,Rockford,42.2711311,-89.0939952
2014,New Jersey,Elizabeth,40.6639916,-74.2107006
2014,Pennsylvania,Lansdale,40.2414952,-75.2837862
2014,Florida,Miami,25.7616798,-80.1917902
2014,Florida,Tampa,27.950575,-82.4571776
2014,Oregon,Portland,45.5154586,-122.6793461
2014,Indiana,South Bend,41.6763545,-86.25198979999999
2014,Missouri,Saint Louis,38.6270025,-90.19940419999999
2014,Virginia,Newport News,37.0870821,-76.4730122
2014,New York,Brooklyn,40.6781784,-73.9441579
2014,Tennessee,Chattanooga,35.0456297,-85.3096801
2014,New Jersey,Newark,40.735657,-74.1723667
2014,Georgia,Atlanta,33.7489954,-84.3879824
2014,Tennessee,Memphis,35.1495343,-90.0489801
2014,Texas,Georgetown,30.6332618,-97.6779842
2014,California,San Francisco,37.7749295,-122.4194155
2014,Virginia,Parksley,37.7820725,-75.6535401
2014,Colorado,Denver,39.7392358,-104.990251
2014,Ohio,Cleveland,41.49932,-81.6943605
2014,South Dakota,Sisseton,45.6646815,-97.0498046
2014,Ohio,Springfield,39.9242266,-83.8088171
2014,Pennsylvania,Pittsburgh,40.44062479999999,-79.9958864
2014,Illinois,Chicago,41.8781136,-87.6297982
2014,Nevada,North Las Vegas,36.1988592,-115.1175013
2014,Ohio,Akron,41.0814447,-81.51900529999999
2014,Texas,El Paso,31.7618778,-106.4850217
2014,Missouri,Springfield,37.2089572,-93.29229889999999
2014,Florida,Miami,25.7616798,-80.1917902
2014,California,Pomona,34.055103,-117.7499909
2014,California,Compton,33.8958492,-118.2200712
2014,California,Los Angeles,34.0522342,-118.2436849
2014,California,San Francisco,37.7749295,-122.4194155
2014,Tennessee,Memphis,35.1495343,-90.0489801
2014,Kentucky,Cadiz,36.8650496,-87.835295
2014,Washington,Marysville,48.0517637,-122.1770818
2014,New York,Queens,40.7282239,-73.7948516
2014,South Carolina,Graniteville,33.5633311,-81.80816220000001
2014,New York,Brooklyn,40.6781784,-73.9441579
2014,Michigan,Detroit,42.331427,-83.0457538
2014,Georgia,Peachtree Corners,33.9698809,-84.22147059999999
2014,Georgia,Atlanta,33.7489954,-84.3879824
2014,California,Stockton,37.9577016,-121.2907796
2014,Georgia,Atlanta,33.7489954,-84.3879824
2014,New York,Utica,43.100903,-75.232664
2014,Georgia,Atlanta,33.7489954,-84.3879824
2014,New York,Guilderland,42.7043568,-73.9116433
2014,Florida,Jacksonville,30.3321838,-81.65565099999999
2014,Michigan,Detroit,42.331427,-83.0457538
2014,Tennessee,Memphis,35.1495343,-90.0489801
2014,California,Pomona,34.055103,-117.7499909
2014,South Carolina,Walterboro,32.9051704,-80.6667688
2014,California,Fresno,36.7377981,-119.7871247
2014,Pennsylvania,Philadelphia,39.9525839,-75.1652215
2014,Florida,Miami,25.7616798,-80.1917902
2014,Missouri,Saint Louis,38.6270025,-90.19940419999999
2014,South Carolina,Darlington County,34.3649897,-80.0087746
2014,Ohio,East Liverpool,40.6186756,-80.5772928
2014,Mississippi,Batesville,34.3114982,-89.9442567
2014,New York,Queens,40.7282239,-73.7948516
2014,Florida,Bell,29.7555125,-82.8626239
2014,Louisiana,New Orleans,29.95106579999999,-90.0715323
2014,Texas,Flour Bluff,27.673923,-97.2788788
2014,Alaska,Anchorage,61.2180556,-149.9002778
2014,Michigan,Detroit,42.331427,-83.0457538
2014,Florida,Orlando,28.5383355,-81.3792365
2014,Georgia,Macon,32.8406946,-83.6324022
2014,Michigan,Flint,43.0125274,-83.6874562
2014,California,Los Angeles,34.0522342,-118.2436849
2014,California,Highland,34.1283442,-117.2086513
2014,Mississippi,Jackson,32.2987573,-90.1848103
2014,California,Livermore,37.6818745,-121.7680088
2014,Florida,Brooksville,28.5552719,-82.3878709
2014,Michigan,Detroit,42.331427,-83.0457538
2014,Illinois,Chicago,41.8781136,-87.6297982
2014,Georgia,Augusta,33.4734978,-82.0105148
2014,California,San Fernando,34.2819461,-118.4389719
2014,Tennessee,Memphis,35.1495343,-90.0489801
2014,Louisiana,Saint Martinville,30.1231441,-91.8294817
2014,New York,Queens,40.7282239,-73.7948516
2014,Massachusetts,Boston,42.3600825,-71.0588801
