Incident Date,State,City Or County,Address,# Killed,# Injured,Year
2014-12-29,Louisiana,New Orleans,Poydras and Bolivar,0,4,2014
2014-12-27,California,Los Angeles,8800 block of South Figueroa Street,1,3,2014
2014-12-27,California,Sacramento,4000 block of May Street,0,4,2014
2014-12-26,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,2014
2014-12-24,Missouri,Saint Louis,18th and Pine,1,3,2014
2014-12-23,Kentucky,Winchester,260 Oxford Drive,1,3,2014
2014-12-22,Michigan,Detroit,Charlevoix and Philip,1,3,2014
2014-12-22,New York,Webster,191 Lake Road,4,2,2014
2014-12-22,Illinois,Chicago,5700 block of South Green Street,0,5,2014
2014-12-21,Florida,Sarasota,4034 N Washington Blvd,2,2,2014
2014-12-21,Mississippi,Waynesboro,Central Avenue,1,4,2014
2014-12-21,Illinois,Calumet City,600 block of Escanba,1,8,2014
2014-12-20,Illinois,Rockford,3200 block of Montrose Avenue,4,0,2014
2014-12-16,New Jersey,Elizabeth,Anna Street,0,4,2014
2014-12-15,Pennsylvania,Lansdale,100 block of West 5th St,7,0,2014
2014-12-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,2014
2014-12-13,Florida,Tampa,810 E. Skagway Ave.,0,5,2014
2014-12-12,Oregon,Portland,717 North Killingsworth Court,0,4,2014
2014-12-07,Indiana,South Bend,16000 block of Roosevelt Road,0,4,2014
2014-12-02,Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,2014
2014-12-02,Virginia,Newport News,6128 Jefferson Ave ,0,5,2014
2014-11-30,New York,Brooklyn,375 Remsen Avenue,0,4,2014
2014-11-30,Tennessee,Chattanooga,2412 East 13th Street ,0,5,2014
2014-11-29,New Jersey,Newark,348 S Orange Ave,1,3,2014
2014-11-29,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,2014
2014-11-28,Tennessee,Memphis,1849 East Brooks Road ,0,4,2014
2014-11-27,Texas,Georgetown,Pvt Rd 934,2,3,2014
2014-11-26,California,San Francisco,Mission and 13th streets,0,6,2014
2014-11-23,Virginia,Parksley,Parksley Road,0,4,2014
2014-11-23,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,2014
2014-11-22,Ohio,Cleveland,1443 E 92nd St,4,1,2014
2014-11-22,South Dakota,Sisseton,Fourth Avenue,4,1,2014
2014-11-22,Ohio,Springfield,Clifton Avenue and Rice Street,1,3,2014
2014-11-21,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,2014
2014-11-19,Illinois,Chicago,700 block of North St. Louis Avenue,1,3,2014
2014-11-18,Nevada,North Las Vegas,Englestad Street,0,4,2014
2014-11-16,Ohio,Akron,1891 E Market St,1,4,2014
2014-11-16,Texas,El Paso,115 S. Durango,0,6,2014
2014-11-15,Missouri,Springfield,2555 N. Glenstone,4,0,2014
2014-11-15,Florida,Miami,NW 55th and 12th,1,3,2014
2014-11-08,California,Pomona,499 E. Arrow Highway,0,5,2014
2014-11-07,California,Compton,136th Street ,0,4,2014
2014-11-07,California,Los Angeles,East 126th Street and North Compton Avenue,0,4,2014
2014-11-05,California,San Francisco,1100 block of Alabama Street ,0,4,2014
2014-10-29,Tennessee,Memphis,Yale Road and Ramill Road,0,5,2014
2014-10-26,Kentucky,Cadiz,1410 Old Dover Road,4,0,2014
2014-10-24,Washington,Marysville,5611 108th St NE,5,1,2014
2014-10-18,New York,Queens,33-02 Queens Blvd,0,4,2014
2014-10-18,South Carolina,Graniteville,192 Breezy Hill Road,1,3,2014
2014-10-18,New York,Brooklyn,Lenox Road,0,4,2014
2014-10-16,Michigan,Detroit,Mogul Street,1,3,2014
2014-10-14,Georgia,Peachtree Corners,6505 Bannor Lane,3,2,2014
2014-10-13,Georgia,Atlanta,85 Mount Zion Road,0,4,2014
2014-10-12,California,Stockton,1100 block of East March Lane,3,1,2014
2014-10-12,Georgia,Atlanta,Arthur Langford Jr Place,1,3,2014
2014-10-11,New York,Utica,222 Bleecker Street,0,5,2014
2014-10-08,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,2014
2014-10-08,New York,Guilderland,1846 Western Ave,4,0,2014
2014-10-05,Florida,Jacksonville,7300 block of Linda Drive,3,1,2014
2014-10-05,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,2014
2014-10-04,Tennessee,Memphis,1400 block of Gherald Street,2,2,2014
2014-10-04,California,Pomona,1925 West Holt Avenue ,0,4,2014
2014-09-29,South Carolina,Walterboro,29 Sandy Dam Lane,1,7,2014
2014-09-29,California,Fresno,2300 block of West Fountain Way ,0,4,2014
2014-09-28,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,2014
2014-09-28,Florida,Miami,NW 7th Ave and NW 64th Street,0,15,2014
2014-09-27,Missouri,Saint Louis,2000 block East John Avenue,0,5,2014
2014-09-26,South Carolina,Darlington County,600 block of Turner Road,1,4,2014
2014-09-21,Ohio,East Liverpool,440 First St,0,4,2014
2014-09-20,Mississippi,Batesville,8297 Curtis Rd,2,2,2014
