Date,City,State,AreaType,School,Fatalities,Year
1990-05-20,Centerville,Tennessee,suburban,HS,1,1990
1990-08-26,Las Vegas,Nevada,urban,HS,1,1990
1991-01-08,Richardson,Texas,urban,HS,0,1991
1991-04-23,Compton,California,urban,MS,1,1991
1991-09-18,Crosby,Texas,rural,HS,1,1991
1991-10-08,Bronx,New York,urban,HS,1,1991
1991-11-01,Iowa City,Iowa,urban,C,5,1991
1991-11-14,Houston,Texas,urban,HS,0,1991
1991-11-25,Brooklyn,New York,urban,HS,1,1991
1992-02-26,Brooklyn,New York,urban,HS,2,1992
1992-05-01,Olivehurst,California,suburban,HS,4,1992
1992-05-14,Napa,California,urban,MS,0,1992
1992-09-11,Lincoln,Texas,urban,HS,0,1992
1992-10-12,Lincoln,Nebraska,urban,C,0,1992
1992-10-12,Tucson,Arizona,urban,HS,1,1992
1992-11-10,Chicago,Illinois,urban,ES,0,1992
1992-11-13,Houston,Texas,urban,HS,1,1992
1992-11-16,Birmingham,Alabama,urban,HS,1,1992
1992-11-20,Chicago,Illinois,urban,HS,1,1992
1992-11-23,Buffalo,New York,urban,HS,0,1992
1992-12-03,Chicago,Illinois,urban,ES,1,1992
1992-12-14,Great Barrington,Massachusetts,suburban,C,2,1992
1993-01-08,Kinzers,Pennsylvania,rural,HS,1,1993
1993-01-12,Miami,Florida,urban,HS,1,1993
1993-01-18,Grayson,Kentucky,suburban,HS,2,1993
1993-01-21,Los Angeles,California,urban,HS,1,1993
1993-02-01,Redmond,Washington,urban,MS,1,1993
1993-02-01,Amityville,New York,suburban,HS,1,1993
1993-02-04,Clayton County,Georgia,urban,HS,1,1993
1993-02-08,Middle River,Minnesota,rural,MS,1,1993
1993-02-08,Washington DC,District of Columbia,urban,HS,1,1993
1993-02-18,Dallas,Texas,urban,HS,1,1993
1993-02-22,Los Angeles,California,urban,HS,1,1993
1993-02-26,Gloucester,Massachusetts,suburban,HS,0,1993
1993-03-18,Harlem,Georgia,suburban,HS,1,1993
1993-03-25,St. Louis,Missouri,urban,HS,1,1993
